Participant_ID,Group_ID,Task_ID,Difficulty,Satisfaction,Stress,Helpfulness,Adherence
1,1,P1,4,3,4,,
2,2,P1,5,2,4,1,2
3,3,P1,4,4,2,4,4
4,4,P1,4,5,2,4,4
5,1,P1,2,4,4,,
6,2,P1,4,5,4,4,4
7,3,P1,4,1,4,2,5
8,4,P1,4,2,2,5,5
9,1,P1,1,5,1,,
10,2,P1,4,3,4,3,4
11,3,P1,3,4,2,5,5
12,4,P1,2,4,2,5,4
13,1,P1,3,4,1,4,5
14,2,P1,3,4,4,4,4
15,3,P1,2,4,1,3,2
16,3,P1,2,4,2,4,4
17,2,P1,3,2,4,4,4
18,4,P1,2,5,1,4,4
19,4,P1,4,2,3,2,4
21,1,P1,2,5,2,,
22,1,P1,2,5,1,,
23,4,P1,4,2,2,4,4
24,3,P1,5,1,2,1,4
25,2,P1,4,3,4,4,4
26,4,P1,3,3,2,3,4
27,1,P1,4,2,2,3,2
28,3,P1,5,2,2,4,4
29,2,P1,2,4,4,5,5
30,2,P1,5,1,4,3,2
31,1,P1,4,3,5,,
33,2,P1,3,4,4,3,2
34,3,P1,4,3,5,4,1
37,4,P1,3,3,1,3,3
38,3,P1,1,4,1,2,1
39,3,P1,3,3,1,4,2
41,1,P1,2,4,4,,
42,4,P1,5,1,4,2,2
46,2,P1,2,5,3,4,3
47,4,P1,2,4,3,4,3
51,1,P1,1,4,1,,
54,2,P1,5,2,1,2,2
56,1,P1,4,3,4,,
57,3,P1,3,4,3,4,3
1,1,P2,3,4,2,4,5
2,2,P2,2,4,2,1,2
3,3,P2,4,3,1,4,4
4,4,P2,2,5,2,3,1
5,1,P2,4,3,4,4,5
6,2,P2,2,4,2,3,4
7,3,P2,2,5,2,2,2
8,4,P2,4,4,2,4,4
9,1,P2,2,5,1,1,5
10,2,P2,3,4,2,4,3
11,3,P2,4,5,2,5,5
12,4,P2,3,3,4,4,4
13,1,P2,3,4,2,4,
14,2,P2,2,4,3,4,2
15,3,P2,4,3,2,3,4
16,3,P2,2,4,1,4,5
17,2,P2,3,4,2,4,4
18,4,P2,2,4,1,2,4
19,4,P2,4,2,3,4,4
21,1,P2,5,3,2,,
22,1,P2,4,3,4,4,
23,4,P2,2,3,1,4,4
24,3,P2,3,2,2,4,4
25,2,P2,2,4,2,5,5
26,4,P2,2,5,2,3,2
27,1,P2,2,4,1,4,5
28,3,P2,5,4,2,4,4
29,2,P2,5,2,3,4,5
30,2,P2,4,2,4,4,3
31,1,P2,2,5,3,,
33,2,P2,3,4,3,3,2
37,4,P2,1,5,1,3,1
38,3,P2,4,4,5,3,1
39,3,P2,4,2,1,4,2
41,1,P2,2,4,3,,
42,4,P2,5,2,5,1,1
46,2,P2,4,5,3,4,3
47,4,P2,4,2,4,2,1
54,2,P2,2,4,1,4,2
56,1,P2,1,5,1,,
1,1,P3,4,3,2,,
2,2,P3,4,3,4,1,1
3,3,P3,4,2,1,4,4
4,4,P3,2,5,2,4,3
5,1,P3,3,3,4,4,5
6,2,P3,3,3,4,2,2
7,3,P3,5,1,2,3,4
8,4,P3,4,3,2,5,5
9,1,P3,2,4,2,2,4
10,2,P3,5,2,3,3,3
11,3,P3,5,1,3,3,4
12,4,P3,5,1,3,4,5
13,1,P3,2,4,2,,4
14,2,P3,,4,1,3,1
15,3,P3,4,3,2,5,4
16,3,P3,5,2,3,4,4
17,2,P3,3,3,2,4,4
18,4,P3,2,4,1,2,2
19,4,P3,2,5,2,5,4
21,1,P3,2,5,1,,
22,1,P3,3,4,2,,
23,4,P3,3,4,2,3,4
24,3,P3,5,1,4,4,4
25,2,P3,,,,,
26,4,P3,3,4,2,3,4
27,1,P3,3,2,2,,
28,3,P3,4,2,2,4,4
29,2,P3,4,4,2,3,4
30,2,P3,3,4,2,4,4
31,1,P3,3,4,4,,
33,2,P3,2,4,3,3,2
37,4,P3,3,3,3,3,2
38,3,P3,3,4,3,2,1
39,3,P3,2,4,1,2,2
41,1,P3,3,3,3,,
42,4,P3,3,4,3,3,1
46,2,P3,3,4,3,5,2
47,4,P3,4,4,5,5,2
56,1,P3,3,2,4,,
1,1,P4,3,4,1,,
2,2,P4,3,2,4,1,1
3,3,P4,3,3,1,3,4
4,4,P4,5,1,3,5,5
5,1,P4,3,3,3,5,5
6,2,P4,1,5,1,4,3
7,3,P4,1,5,1,3,2
8,4,P4,5,1,3,2,4
9,1,P4,1,5,1,,4
10,2,P4,3,3,4,3,4
11,3,P4,4,4,2,4,5
12,4,P4,4,3,2,4,5
13,1,P4,2,5,1,,
14,2,P4,4,3,4,3,2
15,3,P4,2,5,1,4,4
16,3,P4,2,5,1,4,4
17,2,P4,4,2,4,4,4
18,4,P4,4,3,1,3,2
19,4,P4,5,2,3,1,4
21,1,P4,3,4,2,5,4
22,1,P4,3,4,2,,
23,4,P4,4,3,1,2,3
24,3,P4,,,,,
25,2,P4,,,,,
26,4,P4,1,5,1,3,3
27,1,P4,3,2,2,2,3
28,3,P4,5,2,4,4,4
29,2,P4,4,4,2,4,3
30,2,P4,5,1,3,4,4
31,1,P4,1,5,3,,
33,2,P4,1,5,1,5,2
37,4,P4,1,4,1,3,3
38,3,P4,2,5,1,1,1
39,3,P4,4,2,1,4,2
41,1,P4,4,3,4,,
42,4,P4,3,4,3,4,2
46,2,P4,3,5,3,5,3
47,4,P4,2,5,5,4,1
1,1,P5,4,2,4,,
2,2,P5,3,4,2,,1
3,3,P5,4,3,1,4,4
4,4,P5,2,5,1,3,3
5,1,P5,3,3,4,4,5
6,2,P5,4,3,4,5,4
7,3,P5,3,3,1,2,4
8,4,P5,2,5,1,2,2
9,1,P5,4,4,1,2,2
10,2,P5,4,3,4,2,3
11,3,P5,2,5,1,4,5
12,4,P5,2,4,1,4,4
13,1,P5,3,2,2,,
14,2,P5,3,3,2,3,2
15,3,P5,1,5,1,3,3
16,3,P5,2,4,1,,4
17,2,P5,2,3,2,4,4
18,4,P5,2,5,1,2,1
19,4,P5,4,4,3,2,4
21,1,P5,,,,,
22,1,P5,2,1,1,,
23,4,P5,3,4,1,4,4
24,3,P5,1,5,1,5,5
25,2,P5,,,,,
26,4,P5,2,5,1,3,3
27,1,P5,2,4,,4,4
28,3,P5,4,2,4,3,3
29,2,P5,5,2,4,3,5
30,2,P5,5,2,3,4,3
31,1,P5,2,5,3,,
33,2,P5,4,2,5,3,5
37,4,P5,1,4,3,2,4
38,3,P5,5,2,5,3,4
39,3,P5,2,2,1,4,5
41,1,P5,5,2,3,,
42,4,P5,2,3,1,2,2
46,2,P5,4,4,4,5,5
47,4,P5,4,4,5,5,2