Participant_ID,Group_ID,Task_ID,Difficulty,Satisfaction,Stress
1,1,T0,4,1,4
2,2,T0,4,1,4
3,3,T0,4,1,3
4,4,T0,4,4,4
5,1,T0,4,1,4
6,2,T0,4,4,3
7,3,T0,3,2,3
8,4,T0,5,1,3
9,1,T0,3,3,4
10,2,T0,4,2,5
11,3,T0,4,4,4
12,4,T0,5,1,2
13,1,T0,4,3,2
14,2,T0,4,2,4
15,3,T0,5,1,3
16,3,T0,4,2,4
17,2,T0,4,1,3
18,4,T0,3,5,2
19,4,T0,4,2,4
21,1,T0,4,3,4
22,1,T0,4,3,2
23,4,T0,3,3,1
24,3,T0,4,1,4
25,2,T0,4,4,4
26,4,T0,4,2,4
27,1,T0,2,4,1
28,3,T0,5,1,3
29,2,T0,4,4,3
30,2,T0,5,1,4
31,1,T0,4,3,4
33,2,T0,4,2,4
34,3,T0,3,4,3
37,4,T0,4,4,1
38,3,T0,4,3,3
39,3,T0,4,2,3
41,1,T0,4,2,4
42,4,T0,4,2,5
46,2,T0,4,3,3
47,4,T0,4,3,4
51,1,T0,3,2,1
54,2,T0,5,1,3
56,1,T0,2,4,1
57,3,T0,4,2,4
1,1,T1,4,3,2
2,2,T1,4,1,4
3,3,T1,4,3,2
4,4,T1,3,2,2
5,1,T1,3,2,3
6,2,T1,,,
7,3,T1,,,
8,4,T1,,,
9,1,T1,4,2,4
10,2,T1,3,3,2
11,3,T1,1,5,2
12,4,T1,2,4,1
13,1,T1,,,
14,2,T1,4,,
15,3,T1,2,5,1
16,3,T1,2,3,4
17,2,T1,5,1,3
18,4,T1,1,5,1
19,4,T1,4,2,3
21,1,T1,5,4,4
22,1,T1,3,4,2
23,4,T1,2,3,1
24,3,T1,2,,3
25,2,T1,5,2,4
26,4,T1,2,3,2
27,1,T1,2,4,1
28,3,T1,,,
29,2,T1,,,
30,2,T1,5,1,4
31,1,T1,2,5,3
33,2,T1,3,3,4
34,3,T1,2,4,3
37,4,T1,5,2,1
38,3,T1,2,4,3
39,3,T1,2,4,1
41,1,T1,2,4,3
42,4,T1,1,4,1
46,2,T1,2,5,1
47,4,T1,2,5,3
51,1,T1,5,1,4
54,2,T1,1,4,1
56,1,T1,5,1,4
57,3,T1,1,5,1
1,1,T2,4,4,4
2,2,T2,2,4,2
3,3,T2,2,4,1
4,4,T2,4,4,3
5,1,T2,4,3,4
6,2,T2,2,4,2
7,3,T2,1,5,1
8,4,T2,4,2,4
9,1,T2,1,5,1
10,2,T2,2,3,2
11,3,T2,1,4,1
12,4,T2,1,5,1
13,1,T2,4,3,4
14,2,T2,4,1,3
15,3,T2,4,4,2
16,3,T2,4,1,4
17,2,T2,2,3,2
18,4,T2,1,5,1
19,4,T2,2,4,2
21,1,T2,2,4,1
22,1,T2,3,4,2
23,4,T2,2,3,1
24,3,T2,1,5,1
25,2,T2,2,4,2
27,1,T2,1,5,1
28,3,T2,3,3,1
29,2,T2,2,2,2
30,2,T2,4,3,4
31,1,T2,4,2,5
33,2,T2,2,4,3
37,4,T2,1,4,1
38,3,T2,4,3,3
39,3,T2,4,3,1
41,1,T2,4,3,4
42,4,T2,3,4,3
46,2,T2,2,4,3
47,4,T2,3,4,3
54,2,T2,1,4,1
56,1,T2,2,5,1
1,1,T3,2,4,
2,2,T3,4,2,4
3,3,T3,5,1,1
4,4,T3,4,2,3
5,1,T3,3,3,4
6,2,T3,4,1,3
7,3,T3,4,2,4
8,4,T3,3,4,4
9,1,T3,1,5,1
10,2,T3,5,1,4
11,3,T3,2,4,1
12,4,T3,2,4,2
13,1,T3,4,4,4
14,2,T3,4,4,4
15,3,T3,5,2,3
16,3,T3,3,4,4
17,2,T3,3,2,4
18,4,T3,2,4,1
19,4,T3,4,3,4
21,1,T3,4,4,4
22,1,T3,4,3,4
23,4,T3,2,4,1
24,3,T3,3,1,1
26,4,T3,1,5,1
26,4,T3,2,4,2
27,1,T3,1,5,
28,3,T3,3,3,2
29,2,T3,5,2,3
30,2,T3,5,1,3
31,1,T3,2,5,3
33,2,T3,4,4,1
37,4,T3,1,5,3
38,3,T3,3,4,3
39,3,T3,4,4,1
41,1,T3,2,3,3
42,4,T3,1,5,1
46,2,T3,2,5,
47,4,T3,4,2,3
56,1,T3,1,5,1
1,1,T4,4,2,4
2,2,T4,4,2,3
3,3,T4,5,2,1
4,4,T4,2,5,2
5,1,T4,3,3,4
6,2,T4,2,5,2
7,3,T4,4,3,3
8,4,T4,2,4,1
9,1,T4,2,4,1
10,2,T4,3,3,2
11,3,T4,4,2,4
12,4,T4,1,5,1
13,1,T4,3,4,2
14,2,T4,4,1,3
15,3,T4,4,3,2
16,3,T4,5,2,3
17,2,T4,3,2,2
18,4,T4,3,4,1
19,4,T4,1,5,2
21,1,T4,1,2,4
22,1,T4,5,2,3
23,4,T4,2,4,1
26,4,T4,2,5,1
27,1,T4,2,4,1
28,3,T4,4,3,4
29,2,T4,5,2,4
30,2,T4,2,4,4
31,1,T4,3,5,4
33,2,T4,2,4,3
37,4,T4,5,2,1
38,3,T4,4,2,4
39,3,T4,5,1,3
41,1,T4,4,3,4
42,4,T4,4,4,4
46,2,T4,3,4,3
47,4,T4,5,2,4
1,1,T5,3,3,2
2,2,T5,4,4,3
3,3,T5,4,3,1
4,4,T5,1,5,2
5,1,T5,4,3,4
6,2,T5,2,3,2
7,3,T5,4,2,4
8,4,T5,3,4,4
9,1,T5,4,3,1
10,2,T5,2,3,2
11,3,T5,4,5,4
12,4,T5,3,4,1
13,1,T5,4,1,2
14,2,T5,,1,
15,3,T5,4,3,3
16,3,T5,3,4,2
17,2,T5,3,4,2
18,4,T5,1,5,1
19,4,T5,3,4,2
22,1,T5,2,2,2
23,4,T5,1,3,1
24,3,T5,4,1,4
26,4,T5,1,3,1
27,1,T5,3,4,
28,3,T5,5,2,1
29,2,T5,,,
30,2,T5,4,2,4
31,1,T5,1,5,1
33,2,T5,2,1,3
37,4,T5,1,5,3
38,3,T5,2,5,1
39,3,T5,2,2,1
41,1,T5,4,3,4
42,4,T5,4,2,1
46,2,T5,4,4,5
47,4,T5,4,2,3